captured_at_utc,repo,type,timestamp_utc,count,uniques
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-18T00:00:00Z,15,9
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-19T00:00:00Z,6,6
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-20T00:00:00Z,11,7
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-21T00:00:00Z,11,7
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-22T00:00:00Z,10,9
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-23T00:00:00Z,13,9
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-24T00:00:00Z,16,12
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-25T00:00:00Z,13,7
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-26T00:00:00Z,15,10
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-27T00:00:00Z,14,9
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-28T00:00:00Z,13,9
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-29T00:00:00Z,9,7
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-30T00:00:00Z,17,9
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-31T00:00:00Z,13,9
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-18T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-19T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-20T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-21T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-22T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-23T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-24T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-25T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-26T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-27T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-28T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-29T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-30T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-31T00:00:00Z,0,0
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-18T00:00:00Z,14,7
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-19T00:00:00Z,10,6
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-20T00:00:00Z,10,6
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-21T00:00:00Z,7,4
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-22T00:00:00Z,14,9
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-23T00:00:00Z,7,5
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-24T00:00:00Z,9,5
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-25T00:00:00Z,14,7
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-26T00:00:00Z,3,3
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-27T00:00:00Z,9,5
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-28T00:00:00Z,5,5
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-29T00:00:00Z,9,5
2026-06-02T04:58:31.968593+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-30T00:00:00Z,6,3
